time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,0.119166945219,0.0237385004243,11.5954214708,0.0142358581782,6.23672398338,0.0,0.323669826191,0.0693943779476,2.62519478177,0.0172375293676,-0.0184516673958,0.0,458.3451697512187,461.08541444163865,460.32993372061486,461.9924677671671
1.3800000000000008,0.139417185545,0.0281589904046,11.7530837117,0.0150213794501,6.23558195984,0.0,0.351434297378,0.0780363859113,2.6301920947,0.00314660944825,-0.0202239198319,0.0,412.68399834427447,412.5275526384887,413.7800780876978,412.53764279449814
1.4400000000000008,0.16146105279,0.0331430836562,11.9132891552,0.014795243169,6.23420758625,0.0,0.383477295934,0.0881009784898,2.70979273695,-0.0235318205096,-0.0288970366042,0.0,437.8263396579631,437.1040946340479,438.4710647706084,436.2491448173459
1.5000000000000009,0.18570290916,0.0387954046165,12.0832627247,0.0146004690455,6.23234346531,0.0,0.424773724304,0.10022149497,2.95537349906,0.0208848839823,-0.0358093129994,0.0,487.75671554684516,487.23998093010675,486.6288173763714,489.94230353683747
1.560000000000001,0.21236105834,0.04514897683,12.2658371174,0.0162997681476,6.23036277557,0.0,0.464037192789,0.111727255629,3.12995485302,0.0401124721672,-0.0279337757196,0.0,467.53392378279597,468.14675027076953,468.2613204114867,469.75484744178345
1.620000000000001,0.241295256546,0.0521973454386,12.4565750684,0.0185777906453,6.22862256886,0.0,0.500591602714,0.123451937947,3.22768405078,0.0332893301157,-0.0312331345344,0.0,445.4870763357141,445.2169616524316,446.83675186000033,446.2808431226179
1.680000000000001,0.27273055079,0.0600882760452,12.6581216301,0.0202291573639,6.22680357485,0.0,0.547437943709,0.139798352835,3.48974238719,0.0123311774589,-0.0285439982088,0.0,495.47425883307767,495.67172783415174,495.9034442556828,494.3616429125106
1.740000000000001,0.306694945593,0.0688793628364,12.8696343157,0.0213143659766,6.22515798269,0.0,0.584855603409,0.153323792842,3.5604415169,0.0276435314252,-0.0252806861375,0.0,439.6430062458469,439.9131249509554,439.0806877319966,440.34919798481405
1.8000000000000012,0.342854145652,0.0784762846628,13.0839930712,0.0230505828822,6.22358127059,0.0,0.620582023106,0.166725567204,3.58475290631,0.0314054302943,-0.0283525754775,0.0,426.0310995880592,425.7681717070643,424.4691265115565,424.7921418322211
1.8600000000000012,0.381131699761,0.0888889523479,13.2989106543,0.0244903830061,6.22195578416,0.0,0.655475685832,0.180512870575,3.57916201968,0.00195194608359,-0.0246818309304,0.0,415.4059963213484,415.72754965612125,416.78960696550456,414.20736556298147
